"","site.id","lat","long","dataset","site.name","age_bacon","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX"
"6546","3473",46.25,-89.9,3473,"Lake Mary",877.609890807048,142,5,14,81,0,0,8,2,3,42,2,5,1,0,0,0,2,0,0,1,4,0
"6547","3473",46.25,-89.9,3473,"Lake Mary",7111.49268616585,186,13,18,59,1,1,16,15,10,0,0,3,1,0,0,0,0,0,0,1,0,0
"6548","3473",46.25,-89.9,3473,"Lake Mary",7746.8081219724,264,22,31,48,1,0,13,20,24,0,0,10,1,0,0,1,3,0,0,1,2,1
"6549","3473",46.25,-89.9,3473,"Lake Mary",8355.19090455323,232,14,24,38,2,2,13,12,17,0,0,1,0,0,0,1,0,0,1,1,5,1
"6550","3473",46.25,-89.9,3473,"Lake Mary",8983.54799050444,220,18,19,59,2,2,24,10,17,0,0,3,2,0,0,0,0,0,2,0,2,0
"6551","3473",46.25,-89.9,3473,"Lake Mary",9571.46721455101,225,17,9,56,1,1,17,6,11,0,1,2,1,0,0,0,1,0,2,0,2,0
"6552","3473",46.25,-89.9,3473,"Lake Mary",9935.99478234894,173,22,13,56,0,0,20,4,9,0,1,1,5,0,0,4,2,0,2,0,3,0
"6553","3473",46.25,-89.9,3473,"Lake Mary",10153.6001920818,205,27,10,73,5,2,20,7,13,0,11,0,4,0,0,1,2,0,0,1,6,0
"6554","3473",46.25,-89.9,3473,"Lake Mary",10370.0225350559,252,8,13,49,3,0,15,6,17,0,16,0,3,0,0,0,0,0,1,0,3,0
"6555","3473",46.25,-89.9,3473,"Lake Mary",10577.1216429911,242,9,18,10,3,0,2,4,16,0,33,2,0,0,0,0,1,0,2,1,5,3
"6556","3473",46.25,-89.9,3473,"Lake Mary",10787.2067178812,152,11,17,12,2,1,1,2,29,0,129,0,5,0,0,0,4,0,3,0,0,2
"6558","3473",46.25,-89.9,3473,"Lake Mary",1614.10959656851,158,11,29,151,0,0,8,9,7,11,3,13,5,0,0,0,2,0,1,0,0,1
"6566","3473",46.25,-89.9,3473,"Lake Mary",2341.65051888492,184,20,20,76,2,2,17,3,7,19,2,5,3,0,0,0,5,0,0,1,3,0
"6567","3473",46.25,-89.9,3473,"Lake Mary",3136.14601889478,255,16,23,106,2,1,9,5,12,25,2,9,4,0,0,0,7,0,1,0,1,1
"6568","3473",46.25,-89.9,3473,"Lake Mary",3982.9149037346,192,18,39,109,2,1,20,5,11,6,2,10,8,0,0,0,5,0,0,1,1,0
"6569","3473",46.25,-89.9,3473,"Lake Mary",4720.39886959463,132,7,23,28,4,2,4,4,9,0,4,10,6,0,0,0,4,0,0,2,4,0
"6570","3473",46.25,-89.9,3473,"Lake Mary",5345.01305276861,185,14,31,49,4,1,17,7,10,0,0,11,9,0,0,1,4,0,0,0,0,0
"6571","3473",46.25,-89.9,3473,"Lake Mary",5917.93958857787,235,16,21,45,0,0,6,8,5,1,1,3,4,0,0,0,1,0,0,0,2,0
"6572","3473",46.25,-89.9,3473,"Lake Mary",6497.86345060325,292,11,40,37,0,0,11,14,11,3,0,7,3,0,0,0,1,0,1,1,1,0
"5566","275",46.27058,-94.551555,275,"Billy's Lake",11117.0547076275,154,28,13,29,19,4,8,4,18,0,5,1,1,3,1,2,1,0,0,0,0,0
"5572","275",46.27058,-94.551555,275,"Billy's Lake",52.3005125369133,101,53,31,43,21,9,14,11,2,0,1,0,0,2,0,4,0,0,0,0,0,0
"5573","275",46.27058,-94.551555,275,"Billy's Lake",71.2051787945663,148,61,20,47,27,3,18,14,1,0,3,2,1,3,0,2,1,0,0,0,0,0
"5574","275",46.27058,-94.551555,275,"Billy's Lake",71.2083652371176,113,20,15,22,13,4,19,9,2,0,0,1,0,1,0,3,0,0,1,0,0,0
"5575","275",46.27058,-94.551555,275,"Billy's Lake",71.2131449009445,107,25,18,28,14,5,15,14,3,1,1,0,3,0,0,0,0,0,0,1,0,1
"5576","275",46.27058,-94.551555,275,"Billy's Lake",71.2163313434958,208,62,80,95,23,3,28,25,7,0,2,0,2,3,0,2,0,0,0,2,0,0
"5577","275",46.27058,-94.551555,275,"Billy's Lake",144.138995323451,83,20,24,44,13,5,9,8,5,0,1,1,3,0,0,4,0,0,0,0,0,0
"5578","275",46.27058,-94.551555,275,"Billy's Lake",202.476489218905,89,33,32,64,19,2,16,8,2,0,0,1,2,0,0,1,0,0,0,0,0,0
"5579","275",46.27058,-94.551555,275,"Billy's Lake",289.982730062085,103,22,48,47,14,3,13,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"5580","275",46.27058,-94.551555,275,"Billy's Lake",349.213421455885,92,38,39,41,15,2,17,3,1,0,2,2,4,0,0,1,0,0,0,0,0,0
"5581","275",46.27058,-94.551555,275,"Billy's Lake",378.828767152784,198,64,100,69,37,9,46,3,6,0,3,1,4,1,0,2,0,0,0,2,0,2
"5582","275",46.27058,-94.551555,275,"Billy's Lake",408.444112849684,176,59,100,73,38,15,41,12,5,0,4,2,4,0,0,4,0,0,1,2,0,1
"5583","275",46.27058,-94.551555,275,"Billy's Lake",438.059458546583,92,28,52,32,16,8,17,5,5,0,1,0,2,0,0,3,1,0,0,0,0,2
"5584","275",46.27058,-94.551555,275,"Billy's Lake",497.290149940383,78,32,37,28,17,2,11,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"5585","275",46.27058,-94.551555,275,"Billy's Lake",582.268481337748,87,32,41,25,19,6,10,4,6,0,1,0,1,0,0,2,0,0,0,0,0,0
"5586","275",46.27058,-94.551555,275,"Billy's Lake",638.405008176881,93,43,45,24,8,4,25,1,5,0,1,1,1,0,0,1,0,0,0,2,0,0
"5587","275",46.27058,-94.551555,275,"Billy's Lake",722.609798435579,60,46,42,22,10,8,5,7,3,0,1,0,6,0,0,3,0,0,0,0,0,1
"5588","275",46.27058,-94.551555,275,"Billy's Lake",783.257308491483,161,86,136,31,45,20,41,14,7,0,2,1,2,0,0,7,1,0,1,1,0,2
"5589","275",46.27058,-94.551555,275,"Billy's Lake",874.228573575338,70,42,58,21,23,6,11,9,4,1,0,0,1,2,0,2,0,0,0,0,0,0
"5590","275",46.27058,-94.551555,275,"Billy's Lake",934.876083631242,60,33,43,32,22,6,22,10,3,0,2,1,4,0,0,1,1,0,0,1,0,0
"5591","275",46.27058,-94.551555,275,"Billy's Lake",1021.55598607887,82,46,56,33,24,7,18,6,5,0,4,0,6,1,0,6,0,0,0,1,0,0
"5592","275",46.27058,-94.551555,275,"Billy's Lake",1078.7704060258,67,30,63,21,15,8,15,13,4,0,1,1,3,0,0,1,0,0,0,0,0,0
"5593","275",46.27058,-94.551555,275,"Billy's Lake",1164.59203594618,38,36,66,20,16,8,18,5,6,0,2,0,5,0,0,2,0,0,0,2,0,0
"5594","275",46.27058,-94.551555,275,"Billy's Lake",1271.68519766136,46,50,53,29,27,14,22,6,4,0,1,3,3,2,0,4,0,0,0,0,0,0
"5595","275",46.27058,-94.551555,275,"Billy's Lake",1373.03717875719,39,45,56,29,12,10,16,5,4,0,0,3,2,2,0,0,1,0,0,1,0,0
"5596","275",46.27058,-94.551555,275,"Billy's Lake",1468.64797923368,47,34,59,19,17,7,15,13,4,0,1,0,3,1,0,1,2,0,0,0,0,0
"5597","275",46.27058,-94.551555,275,"Billy's Lake",1562.76672002225,40,35,94,30,10,10,23,11,3,0,0,1,5,0,0,3,1,0,0,1,0,0
"5598","275",46.27058,-94.551555,275,"Billy's Lake",1658.34995162241,41,45,63,42,17,5,41,10,6,0,0,3,3,1,0,6,0,0,0,0,0,0
"5599","275",46.27058,-94.551555,275,"Billy's Lake",1860.82015427532,44,48,109,48,22,9,25,10,6,0,2,1,5,4,0,1,1,0,1,0,3,0
"5600","275",46.27058,-94.551555,275,"Billy's Lake",2160.85005098138,38,81,66,27,22,9,12,10,1,0,2,2,2,3,1,9,0,0,0,1,0,0
"5601","275",46.27058,-94.551555,275,"Billy's Lake",2323.01579345736,23,91,97,28,28,16,39,22,4,0,1,0,2,8,0,4,0,0,0,1,1,1
"5602","275",46.27058,-94.551555,275,"Billy's Lake",2483.61004164774,33,113,61,26,15,8,12,10,4,0,0,1,1,0,0,3,1,0,0,1,0,0
"5603","275",46.27058,-94.551555,275,"Billy's Lake",2691.39359716389,27,45,106,46,12,10,16,14,5,0,0,0,1,5,0,2,0,0,0,0,0,0
"5604","275",46.27058,-94.551555,275,"Billy's Lake",2895.56702969669,19,97,64,33,20,17,22,6,5,0,0,0,2,12,0,4,1,0,1,0,0,0
"5605","275",46.27058,-94.551555,275,"Billy's Lake",3097.19724558274,14,133,68,22,33,10,7,5,5,0,4,0,2,2,0,2,0,0,0,2,0,0
"5606","275",46.27058,-94.551555,275,"Billy's Lake",3301.98051847577,12,104,64,14,14,13,13,0,4,0,0,0,3,1,0,5,0,0,1,0,0,0
"5607","275",46.27058,-94.551555,275,"Billy's Lake",3503.71533658595,22,76,52,12,30,18,11,2,3,0,5,0,0,6,1,4,0,0,0,0,0,0
"5608","275",46.27058,-94.551555,275,"Billy's Lake",3707.32093067366,19,96,65,8,16,8,15,3,3,0,2,1,1,1,0,4,0,0,0,0,0,0
"5609","275",46.27058,-94.551555,275,"Billy's Lake",3811.468621876,20,149,49,12,25,17,20,3,3,0,0,0,2,0,0,2,0,0,0,1,0,1
"56101","275",46.27058,-94.551555,275,"Billy's Lake",3915.92726203168,31,165,41,7,25,19,19,4,0,0,0,0,2,3,0,1,0,0,0,0,1,0
"5611","275",46.27058,-94.551555,275,"Billy's Lake",4129.10618612089,28,129,51,12,18,15,16,3,2,0,2,0,2,2,0,2,0,0,0,0,0,0
"5612","275",46.27058,-94.551555,275,"Billy's Lake",4335.06107155118,20,106,47,2,26,15,17,3,2,0,1,4,0,1,0,1,0,0,0,1,0,2
"5613","275",46.27058,-94.551555,275,"Billy's Lake",4590.0872554217,21,106,48,6,22,20,11,1,5,0,2,1,3,6,2,5,0,0,0,0,0,0
"5614","275",46.27058,-94.551555,275,"Billy's Lake",4726.95511201608,22,195,52,10,22,15,9,3,9,0,4,1,1,8,0,3,0,0,0,1,0,0
"5615","275",46.27058,-94.551555,275,"Billy's Lake",4862.66856091362,6,202,39,2,24,6,0,1,2,0,0,0,1,3,0,5,0,0,0,0,0,0
"5616","275",46.27058,-94.551555,275,"Billy's Lake",4997.22760211433,17,124,60,3,25,7,2,3,2,0,2,3,0,1,1,5,0,0,0,0,1,0
"5617","275",46.27058,-94.551555,275,"Billy's Lake",5135.6798332938,23,112,43,13,26,15,5,3,6,0,0,0,1,3,1,3,0,0,0,0,0,0
"5618","275",46.27058,-94.551555,275,"Billy's Lake",5410.51056762113,17,116,44,3,19,9,8,1,5,0,1,0,2,3,0,2,0,0,0,0,0,0
"5619","275",46.27058,-94.551555,275,"Billy's Lake",5547.80846538402,20,106,34,5,12,23,10,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0
"5620","275",46.27058,-94.551555,275,"Billy's Lake",5757.69013654273,15,161,30,4,33,34,4,5,7,0,3,1,4,4,1,3,0,0,0,0,0,0
"5621","275",46.27058,-94.551555,275,"Billy's Lake",5964.27905240056,21,136,40,3,32,15,7,6,10,0,0,1,2,17,1,8,0,0,0,0,0,0
"5622","275",46.27058,-94.551555,275,"Billy's Lake",6233.68093066591,21,133,31,5,37,25,3,3,4,0,1,0,4,3,0,8,0,0,0,1,0,0
"5623","275",46.27058,-94.551555,275,"Billy's Lake",6505.42486430822,17,160,23,7,16,42,5,6,7,0,1,3,6,3,3,6,0,0,0,0,0,0
"5624","275",46.27058,-94.551555,275,"Billy's Lake",6787.74394044477,22,147,31,5,25,10,4,6,6,0,1,0,5,6,0,1,0,0,0,0,0,0
"5625","275",46.27058,-94.551555,275,"Billy's Lake",6925.02664792348,13,118,28,8,20,12,2,1,9,0,0,2,1,3,0,10,0,0,0,0,0,0
"5626","275",46.27058,-94.551555,275,"Billy's Lake",7146.2242906413,21,101,47,7,33,9,1,4,3,0,1,0,2,7,1,4,0,0,0,0,1,0
"5627","275",46.27058,-94.551555,275,"Billy's Lake",7430.61589504624,17,163,43,8,24,18,4,3,6,0,0,0,4,4,0,1,0,0,1,0,0,0
"5628","275",46.27058,-94.551555,275,"Billy's Lake",7873.18459899034,18,128,20,1,14,9,4,4,9,0,0,1,3,3,1,5,0,0,1,0,0,0
"5629","275",46.27058,-94.551555,275,"Billy's Lake",8309.63796323805,13,171,49,6,9,10,5,4,4,0,2,2,2,5,1,6,0,0,0,0,0,0
"5630","275",46.27058,-94.551555,275,"Billy's Lake",8738.81286023251,12,131,34,5,30,10,3,1,6,0,0,1,2,2,0,4,0,0,0,0,0,0
"5631","275",46.27058,-94.551555,275,"Billy's Lake",8958.71128886576,51,215,57,6,30,16,6,4,8,0,0,0,1,0,0,20,0,0,0,0,1,0
"5632","275",46.27058,-94.551555,275,"Billy's Lake",9175.57706589837,70,128,20,8,29,15,8,2,7,0,2,1,3,1,1,9,0,0,0,0,0,0
"5633","275",46.27058,-94.551555,275,"Billy's Lake",9284.00995441468,38,127,9,6,10,5,0,1,1,0,0,0,1,3,1,7,0,0,0,0,1,0
"5634","275",46.27058,-94.551555,275,"Billy's Lake",9499.13081225291,65,217,18,4,30,13,6,1,6,0,0,0,5,2,2,4,0,0,0,0,0,0
"5635","275",46.27058,-94.551555,275,"Billy's Lake",9606.69124117203,83,141,19,5,23,23,3,2,13,0,0,0,2,6,4,9,0,0,0,0,0,1
"5636","275",46.27058,-94.551555,275,"Billy's Lake",9818.11757072416,129,136,21,24,35,23,14,6,10,0,0,0,1,11,2,6,0,0,0,0,0,0
"5637","275",46.27058,-94.551555,275,"Billy's Lake",10029.9032079311,37,114,11,9,21,14,11,5,19,0,0,0,5,27,0,7,2,0,0,1,0,0
"5638","275",46.27058,-94.551555,275,"Billy's Lake",10242.0481527928,104,84,10,15,11,3,10,3,5,0,0,0,3,5,0,3,0,0,0,0,0,0
"5639","275",46.27058,-94.551555,275,"Billy's Lake",10465.4837137462,107,70,7,8,25,13,6,2,19,0,3,0,6,7,0,7,0,0,1,0,1,0
"5640","275",46.27058,-94.551555,275,"Billy's Lake",10685.1886720119,107,36,8,9,14,9,14,5,21,0,1,0,3,4,1,2,0,0,0,0,0,0
"5641","275",46.27058,-94.551555,275,"Billy's Lake",10901.16302759,142,41,25,63,23,4,16,8,39,0,6,0,3,42,1,3,1,0,0,0,0,0
"5653","287",43.083333,-89.866667,287,"Blue Mounds Creek",5321.69266102499,95,66,114,0,13,137,4,0,5,0,0,6,5,0,2,4,0,0,0,1,2,2
"5655","287",43.083333,-89.866667,287,"Blue Mounds Creek",6003.53967389118,60,72,76,0,14,143,1,2,5,0,2,3,2,0,1,0,0,0,1,1,7,0
"5656","287",43.083333,-89.866667,287,"Blue Mounds Creek",6332.01416065419,43,62,45,0,11,107,0,4,15,0,0,10,0,0,0,4,0,0,2,4,6,1
"5657","287",43.083333,-89.866667,287,"Blue Mounds Creek",6554.41509068168,35,75,48,0,11,91,2,0,12,0,0,5,0,0,0,0,0,0,5,4,4,3
"5658","287",43.083333,-89.866667,287,"Blue Mounds Creek",6779.04543722118,52,56,50,2,9,95,1,0,6,0,0,4,2,0,1,5,0,0,3,4,2,0
"5659","287",43.083333,-89.866667,287,"Blue Mounds Creek",7005.01343366788,37,84,62,0,8,97,2,5,0,0,0,8,0,0,4,0,0,0,6,3,4,0
"5660","287",43.083333,-89.866667,287,"Blue Mounds Creek",7219.49616616548,52,95,106,2,13,101,3,6,24,0,0,18,1,0,8,1,0,0,12,2,4,4
"5661","287",43.083333,-89.866667,287,"Blue Mounds Creek",7430.15047734671,52,55,60,0,9,97,0,4,18,0,0,6,2,0,0,0,0,0,7,0,10,2
"5662","287",43.083333,-89.866667,287,"Blue Mounds Creek",7641.07407951621,92,91,77,1,12,92,0,6,23,0,0,6,0,0,0,5,0,0,11,1,7,2
"5663","287",43.083333,-89.866667,287,"Blue Mounds Creek",7852.0361518269,80,71,16,0,8,130,0,4,7,0,0,0,2,0,2,0,0,0,3,4,6,2
"5664","287",43.083333,-89.866667,287,"Blue Mounds Creek",8021.29375296115,70,66,20,0,9,132,4,0,10,0,0,6,0,0,0,0,0,0,1,0,6,0
"5665","287",43.083333,-89.866667,287,"Blue Mounds Creek",8190.5513540954,65,119,40,2,8,121,1,0,6,0,2,4,0,0,0,6,0,0,2,4,2,0
"5666","287",43.083333,-89.866667,287,"Blue Mounds Creek",8397.7039786871,68,165,20,0,9,142,0,0,0,0,0,0,0,0,1,0,0,0,4,7,2,1
"5667","287",43.083333,-89.866667,287,"Blue Mounds Creek",8683.59290141108,188,68,101,2,23,118,103,17,51,0,4,8,2,0,5,10,8,0,24,0,15,3
"5668","287",43.083333,-89.866667,287,"Blue Mounds Creek",9030.61458462334,62,105,20,0,4,131,0,0,3,0,0,1,3,0,0,0,0,0,5,3,5,0
"5669","287",43.083333,-89.866667,287,"Blue Mounds Creek",9411.45541085795,70,89,35,0,6,141,0,1,0,0,4,8,0,0,0,0,0,0,2,2,10,2
"5670","287",43.083333,-89.866667,287,"Blue Mounds Creek",9751.44686662899,62,71,31,0,10,132,2,1,2,0,6,10,2,0,3,2,0,0,1,1,7,1
"5671","287",43.083333,-89.866667,287,"Blue Mounds Creek",10100.4459661544,55,61,44,3,11,121,2,0,5,0,5,1,2,0,1,3,0,0,5,1,6,0
"5672","287",43.083333,-89.866667,287,"Blue Mounds Creek",10397.6779529545,58,93,35,5,7,150,1,0,4,0,8,0,6,0,0,3,2,0,2,0,10,4
"5673","287",43.083333,-89.866667,287,"Blue Mounds Creek",10685.3594472176,51,89,21,2,9,72,5,1,3,0,22,0,6,0,0,4,10,0,2,4,8,0
"5674","287",43.083333,-89.866667,287,"Blue Mounds Creek",10877.1471100596,28,15,7,10,7,27,4,0,3,0,163,0,2,0,0,0,22,0,0,0,4,0
"5675","287",43.083333,-89.866667,287,"Blue Mounds Creek",11105.552164104,18,8,2,6,5,31,0,0,0,0,158,0,1,0,0,0,12,0,0,0,0,0
