Alder,Ash,Basswood,Beech,Birch,Cedar.juniper,Cherry,Elm,Fir,Hackberry,Hemlock,Hickory,Ironwood,Maple,Oak,Pine,Poplar,Spruce,Sycamore,Tamarack,Walnut,Willow
1.62E-05,1.62E-05,3.11E-13,0.064447465,3.65E-14,1.13E-15,2.41E-15,5.045216841,7.00E-13,5.67E-14,3.26E-11,0.001585853,2.26E-14,4.41E-14,1.842926284,5.17E-15,6.303185819,0.044908773,8.01E-15,3.90E-14,6.79E-14,0.000385301
1.06E-15,1.06E-15,3.25E-13,3.40E-13,3.78E-14,1.22E-15,2.45E-15,2.374257641,6.77E-13,5.72E-14,3.29E-11,0.000926322,2.43E-14,4.50E-14,0.398217195,6.15E-15,1.487438793,0.001123023,8.21E-15,4.42E-14,6.87E-14,0.000480323
1.10E-15,1.10E-15,3.39E-13,3.34E-13,3.91E-14,1.32E-15,2.48E-15,0.942543563,6.53E-13,5.77E-14,3.33E-11,0.000585889,2.63E-14,4.65E-14,0.142516919,7.31E-15,0.343506883,8.49E-05,8.41E-15,5.02E-14,6.95E-14,0.00060649
1.13E-15,1.13E-15,3.52E-13,3.28E-13,4.03E-14,1.44E-15,2.51E-15,0.347015368,6.31E-13,5.82E-14,3.35E-11,0.000387559,2.85E-14,4.87E-14,0.11161071,8.69E-15,0.129264241,4.61E-06,8.61E-15,5.70E-14,7.02E-14,0.00077427
1.16E-15,1.16E-15,3.63E-13,3.22E-13,4.16E-14,1.57E-15,2.54E-15,0.123259223,6.09E-13,5.87E-14,3.38E-11,0.000241255,3.09E-14,5.16E-14,0.156827681,1.03E-14,0.114517843,5.33E-09,8.82E-15,6.47E-14,7.08E-14,0.000991089
1.20E-15,1.20E-15,3.73E-13,3.16E-13,4.29E-14,1.71E-15,2.57E-15,0.045980605,5.87E-13,5.93E-14,3.41E-11,0.000144309,3.37E-14,5.51E-14,0.314165924,0.001845014,0.150618063,5.28E-14,9.04E-15,7.33E-14,7.13E-14,0.001289572
1.05E-15,1.05E-15,3.05E-13,3.45E-13,3.60E-14,1.11E-15,2.58E-15,3.412430604,6.95E-13,5.76E-14,3.07E-11,0.001417773,2.24E-14,4.78E-14,0.280613397,5.03E-15,6.427215512,7.05E-14,8.33E-15,3.44E-14,6.87E-14,0.000424465
1.08E-15,1.08E-15,3.20E-13,3.39E-13,3.73E-14,1.20E-15,2.62E-15,1.503027926,6.71E-13,5.81E-14,3.10E-11,0.000767724,2.41E-14,0.537214919,0.030306529,5.99E-15,1.338820574,6.71E-14,8.54E-15,3.91E-14,6.95E-14,0.000528819
1.11E-15,1.11E-15,3.35E-13,3.34E-13,3.86E-14,1.31E-15,2.66E-15,0.519709137,6.49E-13,5.87E-14,3.13E-11,0.000456579,2.61E-14,5.00E-14,0.0051015,7.14E-15,0.236727206,6.39E-14,8.74E-15,4.44E-14,7.02E-14,0.000669354
1.14E-15,1.14E-15,3.49E-13,3.28E-13,3.99E-14,1.42E-15,2.69E-15,0.168671423,6.26E-13,5.92E-14,3.15E-11,0.000288916,2.83E-14,5.25E-14,0.002385606,8.49E-15,0.081277727,6.08E-14,8.96E-15,5.05E-14,7.09E-14,0.000863514
1.17E-15,1.17E-15,3.62E-13,3.22E-13,4.12E-14,1.54E-15,2.73E-15,0.056487136,6.04E-13,5.97E-14,3.18E-11,0.000181113,3.09E-14,5.59E-14,0.002826603,1.01E-14,0.064033824,5.78E-14,9.17E-15,5.74E-14,7.15E-14,0.001138132
1.21E-15,1.21E-15,3.73E-13,3.17E-13,4.24E-14,1.68E-15,2.76E-15,0.020511839,5.82E-13,6.03E-14,3.20E-11,0.000107815,3.37E-14,6.00E-14,0.005845721,1.20E-14,0.092395414,5.50E-14,9.40E-15,6.51E-14,7.20E-14,0.001533157
1.25E-15,1.25E-15,3.82E-13,3.11E-13,4.37E-14,1.84E-15,2.80E-15,0.008324014,5.60E-13,6.08E-14,3.22E-11,6.28E-05,3.69E-14,6.44E-14,0.011885652,1.42E-14,0.108858538,5.22E-14,9.63E-15,7.39E-14,7.24E-14,0.002096238
1.29E-15,1.29E-15,3.89E-13,3.05E-13,4.49E-14,2.01E-15,2.83E-15,0.004330859,5.39E-13,6.13E-14,3.24E-11,3.94E-05,4.04E-14,6.89E-14,0.018683289,1.68E-14,0.053016501,4.95E-14,9.86E-15,8.36E-14,7.28E-14,0.002917369
1.33E-15,1.33E-15,3.94E-13,2.99E-13,4.62E-14,2.20E-15,2.86E-15,0.003282163,5.19E-13,6.19E-14,3.26E-11,2.86E-05,1.20E-06,7.31E-14,0.025551588,1.99E-14,0.010649449,4.70E-14,1.01E-14,9.45E-14,7.30E-14,0.004098574
1.38E-15,1.38E-15,3.96E-13,2.93E-13,4.73E-14,2.42E-15,2.88E-15,0.003339457,4.99E-13,6.24E-14,3.27E-11,2.26E-05,0.001939314,7.67E-14,0.039986032,2.34E-14,0.001697045,4.45E-14,1.03E-14,1.06E-13,7.32E-14,0.005626511
1.42E-15,1.42E-15,3.97E-13,2.88E-13,4.85E-14,2.65E-15,2.91E-15,0.00445483,4.79E-13,6.30E-14,3.28E-11,1.85E-05,5.28E-14,7.92E-14,0.080538625,2.75E-14,0.000407435,4.22E-14,1.06E-14,1.20E-13,7.34E-14,0.007544847
1.47E-15,1.47E-15,3.96E-13,2.82E-13,4.96E-14,2.92E-15,2.93E-15,0.008587829,4.60E-13,6.36E-14,3.29E-11,1.54E-05,5.74E-14,8.05E-14,0.223363669,0.003994697,0.000302211,4.00E-14,1.08E-14,1.34E-13,7.34E-14,0.010290804
2.63E-15,2.63E-15,5.27E-14,1.66E-13,5.62E-14,3.89E-05,2.69E-15,1.923061733,2.14E-13,7.40E-14,3.17E-11,2.11E-06,0.006267644,4.75E-14,4.599830241,2.15E-13,0.388292257,1.61E-11,1.61E-14,3.93E-13,7.35E-14,0.010450813
2.80E-15,2.80E-15,30.34669901,1.52E-13,5.55E-14,0.028158851,2.58E-15,0.157072271,1.96E-13,7.53E-14,3.14E-11,1.88E-06,0.594002423,4.59E-14,11.53364537,2.27E-13,22.57968383,1.46E-05,1.69E-14,3.97E-13,7.38E-14,0.004751421
1.06E-15,1.06E-15,2.98E-13,3.44E-13,3.56E-14,1.10E-15,2.76E-15,2.274123661,6.90E-13,5.86E-14,2.88E-11,0.001359257,2.21E-14,5.24E-14,0.081168489,4.89E-15,7.490397842,7.34E-14,8.67E-15,3.04E-14,6.94E-14,0.000468974
1.09E-15,1.09E-15,3.13E-13,3.39E-13,3.68E-14,1.19E-15,2.80E-15,0.943337328,6.67E-13,5.91E-14,2.91E-11,0.000680683,2.38E-14,2.319203244,0.004424522,5.83E-15,1.583499423,6.99E-14,8.88E-15,3.45E-14,7.02E-14,0.000579239
1.12E-15,1.12E-15,3.29E-13,3.33E-13,3.81E-14,1.29E-15,2.85E-15,0.287917695,6.44E-13,5.96E-14,2.94E-11,0.000371144,2.58E-14,5.43E-14,0.000307531,6.95E-15,0.23741011,6.66E-14,9.09E-15,3.93E-14,7.10E-14,0.000736222
1.15E-15,1.15E-15,3.44E-13,3.28E-13,3.94E-14,1.40E-15,2.89E-15,0.08440507,6.21E-13,6.02E-14,2.96E-11,0.000219464,2.81E-14,5.72E-14,6.62E-05,8.28E-15,0.065562561,6.33E-14,9.32E-15,4.47E-14,7.17E-14,0.000972017
1.19E-15,1.19E-15,3.57E-13,3.22E-13,4.07E-14,1.52E-15,2.93E-15,0.028604123,5.99E-13,6.07E-14,2.99E-11,0.000136412,3.08E-14,6.12E-14,6.05E-05,9.85E-15,0.048912517,6.02E-14,9.54E-15,5.09E-14,7.22E-14,0.001342708
1.22E-15,1.22E-15,3.70E-13,3.17E-13,4.20E-14,1.66E-15,2.97E-15,0.011315904,5.77E-13,6.13E-14,3.01E-11,8.40E-05,3.37E-14,6.60E-14,0.000126435,1.17E-14,0.067155419,5.72E-14,9.77E-15,5.78E-14,7.27E-14,0.001916793
1.26E-15,1.26E-15,3.80E-13,3.11E-13,4.33E-14,1.81E-15,3.00E-15,0.005340846,5.56E-13,6.18E-14,3.03E-11,5.20E-05,3.71E-14,7.11E-14,0.000323309,1.39E-14,0.078132512,5.43E-14,1.00E-14,6.57E-14,7.31E-14,0.00277694
