"","dataset","lat","long","in-calib-sample"
"1","1032",47.133,-95.47461,1
"2","10970",43.7195,-95.228,1
"3","10971",43.56928,-95.59275,1
"4","10973",45.4935,-93.1545,0
"5","10974",45.4072,-93.0532,0
"6","10975",45.377,-95.5625,1
"7","10976",44.99,-94.591,0
"8","10977",46.51205,-93.66005,0
"9","10983",44.709,-94.4935,1
"10","1109",47.181535,-95.86866,1
"11","1111",46.55,-94.133333,1
"12","1114",41.65,-87.072222,1
"13","1133",41.67,-86.53,0
"14","1134",47.958333,-90.933333,0
"15","1138",48.233333,-92.158333,1
"16","1151",44.5,-89.116944,1
"17","1153",47.135556,-93.643611,1
"18","12001",46.186,-85.3082,1
"19","12004",45.45,-95.24005,1
"20","12005",44.6173,-95.68015,1
"21","12006",45.324,-95.27935,1
"22","12007",44.77528,-93.44692,1
"23","12008",44.30865,-93.92,1
"24","12009",46.19165,-95.4687,0
"25","12010",44.5635,-93.218805,1
"26","12011",45.80155,-95.55285,1
"27","12012",46.05545,-95.26345,1
"28","12013",45.8576,-95.4609,0
"29","12014",45.6745,-95.7125,1
"30","12015",45.81725,-95.34235,0
"31","12016",43.65255,-93.284,1
"32","12024",43.6176,-93.43875,1
"33","13032",44.21895,-93.84015,1
"34","13047",45.0265,-83.61,1
"35","13051",46.5986,-96.18675,1
"36","13056",43.92945,-93.0815,0
"37","13057",45.40595,-95.39015,0
"38","13071",45.19145,-90.608,1
"39","1446",44.75836,-93.11674,1
"40","1448",44.238056,-87.848056,1
"41","14631",43.60715,-94.473645,1
"42","1524",45.666667,-87.455,1
"43","15242",41.6355,-87.0945,1
"44","15268",41.603005,-87.285365,1
"45","15274",45.428085,-93.981475,0
"46","15302",43.800155,-89.59428,1
"47","15309",46.34668,-84.857625,1
"48","15316",46.205,-85.0215,1
"49","15487",43.35538,-85.3568,1
"50","15511",42.861,-85.2115,1
"51","1552",46.353333,-92.870278,0
"52","15660",46.520515,-86.35387,0
"53","1581",45.066667,-84.783333,1
"54","1584",45.42363,-93.690695,0
"55","1588",44.79985,-93.15975,1
"56","1629",45.749444,-93.364167,1
"57","1633",45.04816,-92.823905,1
"58","1639",47.286,-93.600465,0
"59","1643",45.283333,-91.483333,1
"60","1665",46.719435,-87.97207,1
"61","1708",47.173975,-94.943965,1
"62","1720",47.17087,-95.70266,1
"63","1725",46.427222,-84.958333,0
"64","1735",43.1,-89.416667,0
"65","17404",46.144685,-86.48299,1
"66","17406",46.61506,-88.86036,1
"67","1757",47.244755,-95.007715,0
"68","1777",44.226105,-93.829815,0
"69","1778",46.858935,-94.75542,1
"70","1781",44.711625,-93.341105,0
"71","1786",47.982605,-93.3853,1
"72","1793",48.033333,-91.9,1
"73","1830",46.068333,-93.68,1
"74","1831",46.341585,-94.408,1
"75","1840",45.933333,-89.625,0
"76","1884",45.780556,-93.273056,1
"77","1891",46.966667,-95.316667,1
"78","1955",44.60587,-93.563475,1
"79","1966",47.081,-94.113,1
"80","19834",43.6774,-94.698115,1
"81","19937",41.75738,-86.52208,0
"82","2011",43.4,-88.1,1
"83","20397",46.565795,-86.0752,1
"84","205",46.7,-85.040278,1
"85","2051",47.190745,-95.77364,1
"86","20512",43.60373,-82.86388,1
"87","2053",46.211944,-95.284167,1
"88","2062",47.6,-96.166667,0
"89","223",47.123935,-95.397205,0
"90","2309",45.283333,-91.458333,1
"91","2314",44.87083,-93.858975,1
"92","2354",47.208889,-95.833333,0
"93","2375",47.916667,-91.866667,0
"94","2383",44.895835,-94.20414,0
"95","2394",47.133333,-93.683333,1
"96","241",46.128056,-93.703889,1
"97","249",45.425,-93.183333,1
"98","25306",43.21822,-83.45983,1
"99","2581",46.662222,-96.25,0
