"","X","dataset","lat","long","in.calib.sample","biomass","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX"
"1",1,"1032",47.133,-95.47461,1,154.990421402868,8,16,197,5,0,19,2,21,23,0,0,12,15,2,1,15,0,42,28,3,0,7
"2",2,"10970",43.7195,-95.228,1,38.1310049831057,54,230,155,5,108,12,3,6,18,2,0,2,6,2,0,9,0,6,10,0,0,4
"3",3,"10971",43.56928,-95.59275,1,91.6162186217685,194,72,198,12,1362,12,14,2,10,0,0,4,4,0,0,10,64,6,12,0,0,0
"4",4,"10973",45.4935,-93.1545,0,99.5570322794117,11,16,180,5,14,7,0,13,21,1,0,9,17,2,1,8,0,32,33,7,0,11
"5",5,"10974",45.4072,-93.0532,0,137.718158379367,37,106,111,1,0,0,2,3,2,0,0,4,0,3,0,0,0,10,15,2,0,2
"6",6,"10975",45.377,-95.5625,1,186.952094713472,16,9,199,3,0,0,3,8,19,2,0,11,28,0,0,4,0,23,19,5,0,4
"7",7,"10976",44.99,-94.591,0,264.108209391844,3,18,71,4,45,4,6,12,17,0,2,42,21,0,0,7,3,24,8,13,0,4
"8",8,"10977",46.51205,-93.66005,0,226.013672608846,2,2,78,2,0,5,0,4,4,1,0,3,7,0,0,8,0,7,4,1,0,2
"9",9,"10983",44.709,-94.4935,1,35.5129231049307,22,38,157,48,24,21,3,5,6,0,1,3,3,0,0,11,6,2,3,0,0,1
"10",10,"1109",47.181535,-95.86866,1,66.2404094976791,5,1,177,10,4,0,0,6,11,0,0,1,4,0,0,1,0,13,8,0,0,1
"11",11,"1111",46.55,-94.133333,1,161.041212051907,41,5,142,1,18,0,2,16,22,5,4,18,20,17,28,1,0,46,15,0,1,5
"12",12,"1114",41.65,-87.072222,1,22.4291249714869,43,50,68,2,10,59,2,3,5,0,1,6,1,0,6,4,0,0,5,1,4,2
"13",13,"1133",41.67,-86.53,0,27.1700634065104,62,60,430,20,28,4,10,10,30,6,4,4,10,6,0,2,0,16,10,0,0,0
"14",14,"1134",47.958333,-90.933333,0,293.792685923434,124,2,24,19,4,0,15,14,20,21,29,77,12,5,37,2,75,22,2,0,0,0
"15",15,"1138",48.233333,-92.158333,1,174.566811409687,156,4,85,7,24,0,4,3,15,16,12,6,2,4,29,1,2,10,3,0,0,1
"16",16,"1151",44.5,-89.116944,1,117.691788521367,16,18,151,23,10,0,6,34,18,0,1,4,6,1,2,4,0,6,6,3,0,0
"17",17,"1153",47.135556,-93.643611,1,223.637666428099,90,8,245,25,13,0,9,13,30,23,0,25,17,0,0,2,3,33,5,4,0,2
"18",18,"12001",46.186,-85.3082,1,36.0409060842387,72,61,259,19,109,16,11,9,9,1,1,1,17,6,17,7,2,0,6,0,0,1
"19",19,"12004",45.45,-95.24005,1,274.141750269038,92,32,49,4,4,0,6,4,5,10,36,5,7,4,13,2,3,19,4,0,2,3
