"","X","name","ID","sigma","beta"
"1",1,"Billy's Lake",1,0.12,1
"2",2,"Billy's Lake",2,0.12,2
"3",3,"Billy's Lake",3,0.12,3
"4",4,"Billy's Lake",4,0.12,4
"5",5,"Billy's Lake",5,0.12,5
"6",6,"Billy's Lake",6,0.12,6
"7",7,"Billy's Lake",7,0.12,7
"8",8,"Billy's Lake",8,0.12,8
"9",9,"Billy's Lake",9,0.12,9
"10",10,"Billy's Lake",10,0.12,10
"11",11,"Billy's Lake",11,0.12,11
"12",12,"Billy's Lake",12,0.12,12
"13",13,"Billy's Lake",13,0.12,13
"14",14,"Billy's Lake",14,0.12,14
"15",15,"Billy's Lake",15,0.12,15
"16",16,"Billy's Lake",16,0.12,16
"17",17,"Billy's Lake",17,0.12,17
"18",18,"Billy's Lake",18,0.12,18
"19",19,"Billy's Lake",19,0.12,19
"20",20,"Billy's Lake",20,0.12,20
"21",21,"Blue Mounds Creek",21,0.12,1
"22",22,"Blue Mounds Creek",22,0.12,2
"23",23,"Blue Mounds Creek",23,0.12,3
"24",24,"Blue Mounds Creek",24,0.12,4
"25",25,"Blue Mounds Creek",25,0.12,5
"26",26,"Blue Mounds Creek",26,0.12,6
"27",27,"Blue Mounds Creek",27,0.12,7
"28",28,"Blue Mounds Creek",28,0.12,8
"29",29,"Blue Mounds Creek",29,0.12,9
"30",30,"Blue Mounds Creek",30,0.12,10
"31",31,"Blue Mounds Creek",31,0.12,11
"32",32,"Blue Mounds Creek",32,0.12,12
"33",33,"Blue Mounds Creek",33,0.12,13
"34",34,"Blue Mounds Creek",34,0.12,14
"35",35,"Blue Mounds Creek",35,0.12,15
"36",36,"Blue Mounds Creek",36,0.12,16
"37",37,"Blue Mounds Creek",37,0.12,17
"38",38,"Blue Mounds Creek",38,0.12,18
"39",39,"Blue Mounds Creek",39,0.12,19
"40",40,"Blue Mounds Creek",40,0.12,20
"41",41,"Bog D Pond",41,0.12,1
"42",42,"Bog D Pond",42,0.12,2
"43",43,"Bog D Pond",43,0.12,3
"44",44,"Bog D Pond",44,0.12,4
"45",45,"Bog D Pond",45,0.12,5
"46",46,"Bog D Pond",46,0.12,6
"47",47,"Bog D Pond",47,0.12,7
"48",48,"Bog D Pond",48,0.12,8
"49",49,"Bog D Pond",49,0.12,9
"50",50,"Bog D Pond",50,0.12,10
"51",51,"Bog D Pond",51,0.12,11
"52",52,"Bog D Pond",52,0.12,12
"53",53,"Bog D Pond",53,0.12,13
"54",54,"Bog D Pond",54,0.12,14
"55",55,"Bog D Pond",55,0.12,15
"56",56,"Bog D Pond",56,0.12,16
"57",57,"Bog D Pond",57,0.12,17
"58",58,"Bog D Pond",58,0.12,18
"59",59,"Bog D Pond",59,0.12,19
"60",60,"Bog D Pond",60,0.12,20
"61",61,"Camp 11 Lake",61,0.12,1
"62",62,"Camp 11 Lake",62,0.12,2
"63",63,"Camp 11 Lake",63,0.12,3
"64",64,"Camp 11 Lake",64,0.12,4
"65",65,"Camp 11 Lake",65,0.12,5
"66",66,"Camp 11 Lake",66,0.12,6
"67",67,"Camp 11 Lake",67,0.12,7
"68",68,"Camp 11 Lake",68,0.12,8
"69",69,"Camp 11 Lake",69,0.12,9
"70",70,"Camp 11 Lake",70,0.12,10
"71",71,"Camp 11 Lake",71,0.12,11
"72",72,"Camp 11 Lake",72,0.12,12
"73",73,"Camp 11 Lake",73,0.12,13
"74",74,"Camp 11 Lake",74,0.12,14
"75",75,"Camp 11 Lake",75,0.12,15
"76",76,"Camp 11 Lake",76,0.12,16
"77",77,"Camp 11 Lake",77,0.12,17
"78",78,"Camp 11 Lake",78,0.12,18
"79",79,"Camp 11 Lake",79,0.12,19
"80",80,"Camp 11 Lake",80,0.12,20
"81",81,"Canyon Lake",81,0.12,1
"82",82,"Canyon Lake",82,0.12,2
"83",83,"Canyon Lake",83,0.12,3
"84",84,"Canyon Lake",84,0.12,4
"85",85,"Canyon Lake",85,0.12,5
"86",86,"Canyon Lake",86,0.12,6
"87",87,"Canyon Lake",87,0.12,7
"88",88,"Canyon Lake",88,0.12,8
"89",89,"Canyon Lake",89,0.12,9
"90",90,"Canyon Lake",90,0.12,10
"91",91,"Canyon Lake",91,0.12,11
"92",92,"Canyon Lake",92,0.12,12
"93",93,"Canyon Lake",93,0.12,13
"94",94,"Canyon Lake",94,0.12,14
"95",95,"Canyon Lake",95,0.12,15
"96",96,"Canyon Lake",96,0.12,16
"97",97,"Canyon Lake",97,0.12,17
"98",98,"Canyon Lake",98,0.12,18
"99",99,"Canyon Lake",99,0.12,19
"100",100,"Canyon Lake",100,0.12,20
"101",101,"Capitola Lake",101,0.12,1
"102",102,"Capitola Lake",102,0.12,2
"103",103,"Capitola Lake",103,0.12,3
"104",104,"Capitola Lake",104,0.12,4
"105",105,"Capitola Lake",105,0.12,5
"106",106,"Capitola Lake",106,0.12,6
"107",107,"Capitola Lake",107,0.12,7
"108",108,"Capitola Lake",108,0.12,8
"109",109,"Capitola Lake",109,0.12,9
"110",110,"Capitola Lake",110,0.12,10
"111",111,"Capitola Lake",111,0.12,11
"112",112,"Capitola Lake",112,0.12,12
"113",113,"Capitola Lake",113,0.12,13
"114",114,"Capitola Lake",114,0.12,14
"115",115,"Capitola Lake",115,0.12,15
"116",116,"Capitola Lake",116,0.12,16
"117",117,"Capitola Lake",117,0.12,17
"118",118,"Capitola Lake",118,0.12,18
"119",119,"Capitola Lake",119,0.12,19
"120",120,"Capitola Lake",120,0.12,20
"121",121,"Cedar Bog",121,0.12,1
"122",122,"Cedar Bog",122,0.12,2
"123",123,"Cedar Bog",123,0.12,3
"124",124,"Cedar Bog",124,0.12,4
"125",125,"Cedar Bog",125,0.12,5
"126",126,"Cedar Bog",126,0.12,6
"127",127,"Cedar Bog",127,0.12,7
"128",128,"Cedar Bog",128,0.12,8
"129",129,"Cedar Bog",129,0.12,9
"130",130,"Cedar Bog",130,0.12,10
"131",131,"Cedar Bog",131,0.12,11
"132",132,"Cedar Bog",132,0.12,12
"133",133,"Cedar Bog",133,0.12,13
"134",134,"Cedar Bog",134,0.12,14
"135",135,"Cedar Bog",135,0.12,15
"136",136,"Cedar Bog",136,0.12,16
"137",137,"Cedar Bog",137,0.12,17
"138",138,"Cedar Bog",138,0.12,18
"139",139,"Cedar Bog",139,0.12,19
"140",140,"Cedar Bog",140,0.12,20
"141",141,"Chippewa Bog",141,0.12,1
"142",142,"Chippewa Bog",142,0.12,2
"143",143,"Chippewa Bog",143,0.12,3
"144",144,"Chippewa Bog",144,0.12,4
"145",145,"Chippewa Bog",145,0.12,5
"146",146,"Chippewa Bog",146,0.12,6
"147",147,"Chippewa Bog",147,0.12,7
"148",148,"Chippewa Bog",148,0.12,8
"149",149,"Chippewa Bog",149,0.12,9
"150",150,"Chippewa Bog",150,0.12,10
"151",151,"Chippewa Bog",151,0.12,11
"152",152,"Chippewa Bog",152,0.12,12
"153",153,"Chippewa Bog",153,0.12,13
"154",154,"Chippewa Bog",154,0.12,14
"155",155,"Chippewa Bog",155,0.12,15
"156",156,"Chippewa Bog",156,0.12,16
"157",157,"Chippewa Bog",157,0.12,17
"158",158,"Chippewa Bog",158,0.12,18
"159",159,"Chippewa Bog",159,0.12,19
"160",160,"Chippewa Bog",160,0.12,20
"161",161,"Crooked Lake",161,0.12,1
