type,name,depth_top,depth_bottom,depth_mid,age,analyst,Abies,Thuja,Larix,Picea,Pinus subg. Pinus,Pinus subg. Strobus,Pinus undiff,Tsuga,Acer rubrum,Acer saccharum,Acer spicatum,Acer undif.,Betula,Betulaceae undif,Carya,Fraxinus3,Fraxinus4,FraxUnid,Juglans cinerea,Juglans nigra,Juglans undiff,Liquidambar,Nyssa sylvatica,Ostrya,Platanus,Populus,Quercus,Fagus,Tilia,Ulmus,Celtis,Corylus,alnus 3-pore,Alnus 4,Alnus 5,AlnusUndif,Cornus,Shepherdia,Ericaceae,Rhamnaceae,Rosaceae,Rubus,Salix,Morus,Myrica/Comptonia,Ilex,Dirca type,Agoseris,Arceuthobium,Apiaceae/Umbell,Brassicaceae,Caryophylaceae,Epilobium,Euphorbia,Fabaceae,Galium,Humulus,Impatiens,Iva ciliata,Iva xanthifolia,Lamiaceae,Maianthemum,Phlox,Plantago,Polygonum amphibium-type,Polygonum lapth. Type,Polygonum sect. Persicaria,Ranunculus,Rumex,Thalictrum,Urtica,Vitus,Xanthium,Ambrosia,Artemisia,Poaceae,Zea,Chenopodaceae,Sarcobatus,Tubuliflorae,Liguliflorae,Ephedra,Cyperaceae,Eriophorum,Drosera,Brasenia,Caltha,Lemna,Typha lat.,Typha ang,Typha undif,Nuphar,Nymphaea,Myriophyllum,Isoetes,Sagittaria,Ophioglossum,Lyco annotinum,Lyco clavatum,Lyco complanatum,L. inundatum,Lyco lucidulum,Lyco obscurum,Lyco selago,Lyco undiff,Equisetum,Hippuris,Selaginella rupestris,Dennstaedtia,Osmunda cinnemomea,Osmunda regalis,Osmunda undiff,Sphagnum,Mono psil,Mono ver,Pteridium,Other Trilete,Trilete scabrate,Polypodium,Botrychium,cf. Athyrium,cf. Adiantum,Woodsia,Innaperturate psil,UNK,UNID
Surf,Adventure,0,1,0.5,,R. Calcote,1,,,1,57,1,104,,,1,,,21,,2,,2,,,,,,,1,,9,38,,1,4,,,,4,2,,,,,,,,1,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,24,1,12,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2
Pre,Adventure,29,30,29.5,,R. Calcote,2,1,,7,85,32,259,3,1,,,,49,,1,1,,,1,1,,,,2,,4,32,,,9,,3,,7,2,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,5,3,5,,,,3,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,5
Surf,Benach,0,1,0.5,,R. Calcote,,2,,1,23,10,51,2,1,3,,,42,,,1,2,,,,,,,1,,8,73,,,4,,,,11,2,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,17,4,6,,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,5
Pre,Benach,14,15,14.5,,R. Calcote,2,,,2,22,35,102,1,1,1,,,34,,1,1,,,,,,,,3,,4,19,,,8,,2,,12,3,,,,,,,,1,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,1,,3,4,4,,2,,3,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,,,,4
Surf,BlueJ,0,1,0.5,,R. Calcote,1,1,,1,50,1,82,,2,1,,,26,,,1,,,,,,,,,,6,20,,,1,,,,4,3,,,,,,,,1,,2,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,16,1,3,,1,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,3
Pre,BlueJ,24,25,24.5,,R. Calcote,,2,,4,37,10,181,3,,,,,63,,,1,,,,,,,,2,1,4,17,,1,,,,,18,5,,,,,,,,2,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,6,8,9,,1,,1,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,4
Surf,Brozie,0,1,0.5,,R. Calcote,,4,,,72,16,132,2,,1,,,104,,1,,6,,1,,,,,1,,19,102,,,5,,4,,15,5,,,,,,,,1,,,,,,,0,,1,,,,,,,,,0,,,,,,,,,,,1,1,50,9,14,2,16,,4,,,5,,,,,,,,,3,,,,,,,,,,,,,1,,,,,1,,,,,,2,5,,,,,,,,1,10
Pre,Brozie,39,40,39.5,,R. Calcote,1,,,7,50,93,301,1,1,,,,55,,,3,,,,,,,,3,,2,33,,,,,4,,8,2,,,,,,,,1,,1,,,,,0,,,,,,,,,,,0,,,,,,,,,1,,,,5,5,3,,1,,3,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,1,,,3,,,,1,,,,,,,,,6
Surf,Camp2G,0,1,0.5,,R. Calcote,2,,,2,21,9,95,2,,,,,52,,,,,,,,,,,,,1,25,,,1,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,0,,,,,,,,,,,,,3,5,2,,3,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,4
Pre,Camp2G,78,79,78.5,,E.A. Lynch,1,2,,7,104,37,232,2,3,1,,,70,,,1,,,,,,,,7,,7,24,,1,2,,4,,13,11,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,8,4,2,,,,,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,3,3,,,,,,,,,2
Surf,Chase,0,1,0.5,,R. Calcote,,,,1,16,5,40,,1,,,,42,,,,3,,,,,,,,,8,108,,,4,,,,8,2,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,12,,6,,4,,1,1,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
Pre,Chase,19,20,19.5,,R. Calcote,1,1,1,9,101,84,146,7,1,4,,,51,,,,,,,,,,,3,,9,59,,2,5,,4,,7,2,,,,,,,,,,,,,,,0,,1,,,,,,,,,0,,,,,,,,,,,,,7,3,10,,1,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,3,,,,,,,,,,,,10
Surf,Cheney,0,1,0.5,,R. Calcote,1,2,,2,69,3,73,1,1,1,,,22,1,,3,1,,1,,,,,,,5,43,,,1,,2,,3,2,,,,,,,,3,,2,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,21,1,5,,4,,,,,3,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,5
Pre,Cheney,36,37,36.5,,R. Calcote,2,1,1,5,60,15,162,1,1,1,,,42,,1,2,1,,,,,,,,,2,20,,,6,,3,,8,2,,,,,,,,1,,,,,,,,,1,,,,,,,1,,0,,,,,,,,,,,,,4,5,3,,,,1,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,6
Surf,Clubhouse,0,1,0.5,,R. Calcote,,,,3,20,5,59,,1,2,,,44,,,2,2,,,,,,,,,6,56,,,1,,,,6,3,,,,,,,,2,,,1,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,26,3,5,,3,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,2,,,,,,,,,,,,2
