"","name","ID","sigma","group"
"1","Billy's Lake",3143,0.03,1
"2","Billy's Lake",3144,0.06,1
"3","Billy's Lake",3145,0.09,1
"4","Billy's Lake",3146,0.12,1
"5","Billy's Lake",3147,0.15,1
"6","Billy's Lake",3148,0.18,1
"7","Billy's Lake",3149,0.21,1
"8","Billy's Lake",3150,0.24,1
"9","Billy's Lake",3151,0.27,1
"10","Billy's Lake",3152,0.03,2
"11","Billy's Lake",3153,0.06,2
"12","Billy's Lake",3154,0.09,2
"13","Billy's Lake",3155,0.12,2
"14","Billy's Lake",3156,0.15,2
"15","Billy's Lake",3157,0.18,2
"16","Billy's Lake",3158,0.21,2
"17","Billy's Lake",3159,0.24,2
"18","Billy's Lake",3160,0.27,2
"19","Billy's Lake",3161,0.03,3
"20","Billy's Lake",3162,0.06,3
"21","Billy's Lake",3163,0.09,3
"22","Billy's Lake",3164,0.12,3
"23","Billy's Lake",3165,0.15,3
"24","Billy's Lake",3166,0.18,3
"25","Billy's Lake",3167,0.21,3
"26","Billy's Lake",3168,0.24,3
"27","Billy's Lake",3169,0.27,3
"28","Billy's Lake",3170,0.03,4
"29","Billy's Lake",3171,0.06,4
"30","Billy's Lake",3172,0.09,4
"31","Billy's Lake",3173,0.12,4
"32","Billy's Lake",3174,0.15,4
"33","Billy's Lake",3175,0.18,4
"34","Billy's Lake",3176,0.21,4
"35","Billy's Lake",3177,0.24,4
"36","Billy's Lake",3178,0.27,4
"37","Billy's Lake",3179,0.03,5
"38","Billy's Lake",3180,0.06,5
"39","Billy's Lake",3181,0.09,5
"40","Billy's Lake",3182,0.12,5
"41","Billy's Lake",3183,0.15,5
"42","Billy's Lake",3184,0.18,5
"43","Billy's Lake",3185,0.21,5
"44","Billy's Lake",3186,0.24,5
"45","Billy's Lake",3187,0.27,5
"46","Billy's Lake",3188,0.03,6
"47","Billy's Lake",3189,0.06,6
"48","Billy's Lake",3190,0.09,6
"49","Billy's Lake",3191,0.12,6
"50","Billy's Lake",3192,0.15,6
"51","Billy's Lake",3193,0.18,6
"52","Billy's Lake",3194,0.21,6
"53","Billy's Lake",3195,0.24,6
"54","Billy's Lake",3196,0.27,6
"55","Billy's Lake",3197,0.03,7
"56","Billy's Lake",3198,0.06,7
"57","Billy's Lake",3199,0.09,7
"58","Billy's Lake",3200,0.12,7
"59","Billy's Lake",3201,0.15,7
"60","Billy's Lake",3202,0.18,7
"61","Billy's Lake",3203,0.21,7
"62","Billy's Lake",3204,0.24,7
"63","Billy's Lake",3205,0.27,7
"64","Billy's Lake",3206,0.03,8
"65","Billy's Lake",3207,0.06,8
"66","Billy's Lake",3208,0.09,8
"67","Billy's Lake",3209,0.12,8
"68","Billy's Lake",3210,0.15,8
"69","Billy's Lake",3211,0.18,8
"70","Billy's Lake",3212,0.21,8
"71","Billy's Lake",3213,0.24,8
"72","Billy's Lake",3214,0.27,8
"73","Billy's Lake",3215,0.03,9
"74","Billy's Lake",3216,0.06,9
"75","Billy's Lake",3217,0.09,9
"76","Billy's Lake",3218,0.12,9
"77","Billy's Lake",3219,0.15,9
"78","Billy's Lake",3220,0.18,9
"79","Billy's Lake",3221,0.21,9
"80","Billy's Lake",3222,0.24,9
"81","Billy's Lake",3223,0.27,9
"82","Billy's Lake",3224,0.03,10
"83","Billy's Lake",3225,0.06,10
"84","Billy's Lake",3226,0.09,10
"85","Billy's Lake",3227,0.12,10
"86","Billy's Lake",3228,0.15,10
"87","Billy's Lake",3229,0.18,10
"88","Billy's Lake",3230,0.21,10
"89","Billy's Lake",3231,0.24,10
"90","Billy's Lake",3232,0.27,10
"91","Blue Mounds Creek",3233,0.03,1
"92","Blue Mounds Creek",3234,0.06,1
"93","Blue Mounds Creek",3235,0.09,1
"94","Blue Mounds Creek",3236,0.12,1
"95","Blue Mounds Creek",3237,0.15,1
"96","Blue Mounds Creek",3238,0.18,1
"97","Blue Mounds Creek",3239,0.21,1
"98","Blue Mounds Creek",3240,0.24,1
"99","Blue Mounds Creek",3241,0.27,1
"100","Blue Mounds Creek",3242,0.03,2
"101","Blue Mounds Creek",3243,0.06,2
"102","Blue Mounds Creek",3244,0.09,2
"103","Blue Mounds Creek",3245,0.12,2
"104","Blue Mounds Creek",3246,0.15,2
"105","Blue Mounds Creek",3247,0.18,2
"106","Blue Mounds Creek",3248,0.21,2
"107","Blue Mounds Creek",3249,0.24,2
"108","Blue Mounds Creek",3250,0.27,2
"109","Blue Mounds Creek",3251,0.03,3
"110","Blue Mounds Creek",3252,0.06,3
"111","Blue Mounds Creek",3253,0.09,3
"112","Blue Mounds Creek",3254,0.12,3
"113","Blue Mounds Creek",3255,0.15,3
"114","Blue Mounds Creek",3256,0.18,3
"115","Blue Mounds Creek",3257,0.21,3
"116","Blue Mounds Creek",3258,0.24,3
"117","Blue Mounds Creek",3259,0.27,3
"118","Blue Mounds Creek",3260,0.03,4
"119","Blue Mounds Creek",3261,0.06,4
"120","Blue Mounds Creek",3262,0.09,4
"121","Blue Mounds Creek",3263,0.12,4
"122","Blue Mounds Creek",3264,0.15,4
"123","Blue Mounds Creek",3265,0.18,4
"124","Blue Mounds Creek",3266,0.21,4
"125","Blue Mounds Creek",3267,0.24,4
"126","Blue Mounds Creek",3268,0.27,4
"127","Blue Mounds Creek",3269,0.03,5
"128","Blue Mounds Creek",3270,0.06,5
"129","Blue Mounds Creek",3271,0.09,5
"130","Blue Mounds Creek",3272,0.12,5
"131","Blue Mounds Creek",3273,0.15,5
"132","Blue Mounds Creek",3274,0.18,5
"133","Blue Mounds Creek",3275,0.21,5
"134","Blue Mounds Creek",3276,0.24,5
"135","Blue Mounds Creek",3277,0.27,5
"136","Blue Mounds Creek",3278,0.03,6
"137","Blue Mounds Creek",3279,0.06,6
"138","Blue Mounds Creek",3280,0.09,6
"139","Blue Mounds Creek",3281,0.12,6
"140","Blue Mounds Creek",3282,0.15,6
"141","Blue Mounds Creek",3283,0.18,6
"142","Blue Mounds Creek",3284,0.21,6
"143","Blue Mounds Creek",3285,0.24,6
"144","Blue Mounds Creek",3286,0.27,6
"145","Blue Mounds Creek",3287,0.03,7
"146","Blue Mounds Creek",3288,0.06,7
"147","Blue Mounds Creek",3289,0.09,7
"148","Blue Mounds Creek",3290,0.12,7
