"","name","ID","sigma","beta"
"1","Lake Mary",1,0.03,1
"2","Lake Mary",2,0.03,2
"3","Lake Mary",3,0.03,3
"4","Lake Mary",4,0.03,4
"5","Lake Mary",5,0.03,5
"6","Lake Mary",6,0.03,6
"7","Lake Mary",7,0.03,7
"8","Lake Mary",8,0.03,8
"9","Lake Mary",9,0.03,9
"10","Lake Mary",10,0.03,10
"11","Lake Mary",11,0.03,11
"12","Lake Mary",12,0.03,12
"13","Lake Mary",13,0.03,13
"14","Lake Mary",14,0.03,14
"15","Lake Mary",15,0.03,15
"16","Lake Mary",16,0.03,16
"17","Lake Mary",17,0.03,17
"18","Lake Mary",18,0.03,18
"19","Lake Mary",19,0.03,19
"20","Lake Mary",20,0.03,20
"21","Lake Mary",21,0.03,21
"22","Lake Mary",22,0.03,22
"23","Lake Mary",23,0.03,23
"24","Lake Mary",24,0.03,24
"25","Lake Mary",25,0.03,25
"26","Lake Mary",26,0.03,26
"27","Lake Mary",27,0.03,27
"28","Lake Mary",28,0.03,28
"29","Lake Mary",29,0.03,29
"30","Lake Mary",30,0.03,30
"31","Lake Mary",31,0.03,31
"32","Lake Mary",32,0.03,32
"33","Lake Mary",33,0.03,33
"34","Lake Mary",34,0.03,34
"35","Lake Mary",35,0.03,35
"36","Lake Mary",36,0.03,36
"37","Lake Mary",37,0.03,37
"38","Lake Mary",38,0.03,38
"39","Lake Mary",39,0.03,39
"40","Lake Mary",40,0.03,40
"41","Lake Mary",41,0.03,41
"42","Lake Mary",42,0.03,42
"43","Lake Mary",43,0.03,43
"44","Lake Mary",44,0.03,44
"45","Lake Mary",45,0.03,45
"46","Lake Mary",46,0.03,46
"47","Lake Mary",47,0.03,47
"48","Lake Mary",48,0.03,48
"49","Lake Mary",49,0.03,49
"50","Lake Mary",50,0.03,50
"51","Billy's Lake",51,0.03,1
"52","Billy's Lake",52,0.03,2
"53","Billy's Lake",53,0.03,3
"54","Billy's Lake",54,0.03,4
"55","Billy's Lake",55,0.03,5
